name,minutes,nutrition,n_steps,steps,description,ingredients,ingredients
berry  good sandwich spread,5,"[79.2, 3.0, 58.0, 0.0, 0.0, 6.0, 5.0]",2,"['in medium size bowl , coarsely mash cranberry sauce', 'stir in sour cream and horseradish until well blended']","horseradish is one of my favorite condiments as well as cranberry sauce. this is sweet and hot. i enjoy it on a smoked turkey & swiss sandwich, but also good alongside baked ham or roast beef.","['whole berry cranberry sauce', 'sour cream', 'prepared horseradish']",3
better than sex  strawberries,1460,"[734.1, 66.0, 199.0, 10.0, 10.0, 117.0, 28.0]",8,"['crush vanilla wafers into fine crumbs and line a square 8"" x8"" pan', 'mix butter or margarine and sugar', 'add beaten eggs', 'spread the mixture over the wafer crumbs', 'crush strawberries and spread over sugar , egg , and butter mixture', 'cover strawberries with whipped cream', 'sprinkle with chopped nuts', 'chill 24 hours']","simple but sexy. this was in my local newspaper's food section. cook time reflects refrigeration time.  i've been asked several times if this should be baked.  just to clarify, no, it is not, it is a refrigerator dessert. i'm not sure why it contains raw egg, but most tiramisu recipes do too.","['vanilla wafers', 'butter', 'powdered sugar', 'eggs', 'whipping cream', 'strawberry', 'walnuts']",7
better then bush s  baked beans,2970,"[462.4, 28.0, 214.0, 69.0, 14.0, 29.0, 23.0]",9,"['in a very large sauce pan cover the beans and bouillon cubes in 3 inches of water', 'bring to a boil , cover , and let sit for 1 1 / 2 hours', 'preheat oven to 350 degrees f', ""drain and pour beans into a 9'x11' pan"", 'add the rest over the ingredients , stir , and bake until all the water has evaporated , about 3 hours', 'remove from oven , cover , and let sit overnight', 'preheat oven to 350 degrees f', 'add the next 5 cups of water , and bake until all the water has evaporated , about 3 hours', 'serving suggestions: challah bread , steak , hamburgers']","i'd have to say that this is a labor of love dish, but i give you my word that this recipe is better than bush's. enjoy! oh, and also this recipe is easily doubled. in fact, i think it turns out better when it is.","['great northern bean', 'chicken bouillon cubes', 'dark brown sugar', 'molasses', 'cornstarch', 'onion', 'garlic powder', 'mustard powder', 'chili powder', 'salt', 'black pepper', 'bacon', 'water']",13
boat house  collard greens,525,"[315.8, 0.0, 202.0, 9.0, 6.0, 0.0, 21.0]",7,"['put prepared greens in large pot', 'add water', 'bring to a boil , and boil for one hour', 'add sugar , molasses , hot sauce , whiskey , and ham hock', 'bring to a boil again , and boil for another hour', 'reduce heat and simmer for 4-6 hours', 'during the last hour of cooking , add a little salt to taste']",my boss gave me this recipe several years ago. the recipe supposedly came from the ,"['collard greens', 'brown sugar', 'molasses', 'hot sauce', 'whiskey', 'ham hock', 'salt']",7
calm your nerves  tonic,5,"[8.2, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",6,"['combine herbs', 'dosage: one-half teaspoonful mixed in one-half glass of cold water , followed by a glass of hot water , one hour before each meal and upon retiring', 'this can be put in gelatin capsules', 'two no', '00 capsules would contain the required amount for one dose', 'more can be taken with beneficial results']","this will prove a blessing to everyone who takes it. it is soothing and relaxing, quieting to the nerves, has many good qualities, and is perfectly harmless. you can get the ingredients from any good health food store. you could up this to 1 cup each or lessen it to 1/8 cup each, according to your preference.","['gentian root', 'scullcap herb', 'burnet root', 'wood bethony', 'spearmint']",5
chicken lickin  good  pork chops,500,"[105.7, 8.0, 0.0, 26.0, 5.0, 4.0, 3.0]",5,"['dredge pork chops in mixture of flour , salt , dry mustard and garlic powder', 'brown in oil in a large skillet', 'place browned pork chops in a crock pot', 'add the can of soup , undiluted', 'cover and cook on low for 6-8 hours']",here's and old standby i enjoy from time to time. it's from an old newspaper clipping i cut out years ago. very tasty.,"['lean pork chops', 'flour', 'salt', 'dry mustard', 'garlic powder', 'oil', 'chicken rice soup']",7
chile rellenos,45,"[94.0, 10.0, 0.0, 11.0, 11.0, 21.0, 0.0]",9,"['drain green chiles', 'sprinkle cornstarch on sheet pan', 'open up chile and place on egg roll wrapper with corner facing you', 'place cheese stick on chile and roll up , tucking in corners and moistening edges to seal', 'toss in cornstarch , dusting liberally', 'shake off excess cornstarch and deep fry in 350 oil to cover until lightly golden and cheese just starts to ooze out', 'drain on paper towels and keep warm in 250 oven', 'serve as a side dish or appetizer with your favorite mexican meal', 'add your favorite condi- ments / sauces']","a favorite from a local restaurant no longer in business. not an authentic mexican chile relleno, but a crispy, flaky version.","['egg roll wrap', 'whole green chilies', 'cheese', 'cornstarch', 'oil']",5
chinese  candy,15,"[232.7, 21.0, 77.0, 4.0, 6.0, 38.0, 8.0]",4,"['melt butterscotch chips in heavy saucepan over low heat', 'fold in peanuts and chinese noodles until coated', 'drop by tablespoon onto waxed paper', 'let stand in cool place until firm']","a little different, and oh so good. i include these when making up candy trays, as gifts, at christmas time.","['butterscotch chips', 'chinese noodles', 'salted peanuts']",3
chinese  chop suey,70,"[395.4, 31.0, 20.0, 29.0, 51.0, 33.0, 8.0]",8,"['brown ground meat and onion in a large pot', 'add 1 / 4 cup of soy sauce', 'thinly slice the entire bunch of celery , including the leaves', 'add beef broth and celery', 'bring to a boil', 'reduce heat and simmer until celery is tender', 'add more soy sauce if needed , to taste', 'serve as an open face sandwich over a hamburger bun']",easy one-pot dinner. ,"['celery', 'onion', 'ground pork', 'soy sauce', 'beef broth', 'cooking oil', 'hamburger buns']",7
cream  of cauliflower soup  vegan,110,"[174.2, 4.0, 24.0, 1.0, 15.0, 1.0, 10.0]",10,"['heat the oil or margarine in a soup pot and add the onion and garlic', 'saute over medium heat until the onion is golden , about 10 minutes', 'add the cauliflower , potatoes , water , and seasonings', 'there should be enough broth to cover all but about an inch of the veggies', 'bring to a simmer , then simmer gently covered until the veggies are tender , about 25 minutes', 'remove from the heat transfer the vegetables from the soup pot to a food processor or blender and puree in batches until smooth', 'puree about half of the beans with each of the two batches of vegetables', 'transfer the puree back into the soup pot , stirring it back into whatever liquid remained', 'let the soup stand for 1-2 hours before serving , then heat through as needed', 'ladle into soup bowls and garnish the tops with 2-3 garnishes']",this is a dairy free ,"['canola oil', 'onion', 'garlic', 'cauliflower', 'potatoes', 'vegetable bouillon cubes', 'water', 'salt free herb and spice seasoning mix', 'ground coriander', 'great northern bean', 'salt and pepper', 'broccoli floret', 'escarole', 'green peas', 'red bell pepper', 'fresh herb']",16
cream  of spinach soup,45,"[126.0, 11.0, 2.0, 14.0, 5.0, 23.0, 4.0]",9,"['bring water and salt to a boil', 'cut the potatoes in half lengthwise , and then into 1 / 2"" thick slices', 'boil over medium-high heat for twenty minutes', ""add the spinach and boil another 10 minutes being careful to not overcook in order to maintain it's bright green color"", 'drain , reserving 1 1 / 4 cups cooking liquid', 'in a food processor , process the potatoes and spinach until very smooth , adding the butter 1 / 2 t at a time', 'return the puree to the pot and add the reserved liquid until the desired consistency', 'reheat slowly and season with salt and pepper', 'ladle into shallow soup plates and garnish with nutmeg or shaved cheese']","wonderful comfort food from rozanne gold, a favorite cookbook author. this is a creamless creamed soup and it's delicious. it's made thick with potatoes and rich with butter. the color of this soup is stunning.","['water', 'salt', 'boiling potatoes', 'fresh spinach leaves', 'unsalted butter', 'coarse salt', 'fresh ground black pepper', 'nutmeg']",8
cream  of spinach soup  vegan,55,"[64.8, 3.0, 13.0, 54.0, 4.0, 2.0, 3.0]",10,"['in a 3 qt saucepan over medium high heat , saute the onions and scallions in the apple juice and oil for 5 minutes , stirring frequently', 'add the spinach , parsley and celery', 'cook for 5-7 minutes , stirring occasionally add the broth , oats , salt , thyme and pepper', 'bring to a boil , then lower the heat to medium', 'cover and simmer for 20 minutes', 'remove from the heat', 'let the soup cool for 10 minutes', 'working in batches , puree in a blender until thick and smooth', 'return to the pot', 'reheat and serve']","thickened with a mix of cooked oats and vegies, this soup has all the flavor of the original with a fraction of the fat stuff. low in cholestorol too!","['onion', 'scallion', 'apple juice', 'olive oil', 'spinach', 'fresh parsley', 'celery', 'broth', 'rolled oats', 'salt', 'dried thyme', 'white pepper']",12
crispy crunchy  chicken,35,"[335.8, 11.0, 2.0, 24.0, 64.0, 10.0, 10.0]",8,"['combine soup , egg and seasoned salt in a bowl and set aside', 'mix together flour , cornstarch , garlic powder , paprika , salt and pepper in a resealable plastic bag', 'dip chicken pieces into soup mixture and turn so as to coat all over', 'place chicken pieces in bag with flour mixture , seal bag and shake to coat chicken', 'place coated pieces of chicken on a platter and allow to set until the coating becomes doughy', 'heat oil in a deep fryer or in a skillet over medium heat , using enough oil to cover chicken pieces when fried', 'once chicken is doughy , fry pieces in oil for approx 5-8 minutes or until cooked through and juices run clear', 'drain pieces on paper towel and serve']","delicious, crunchy fried chicken. this recipe came from the ","['boneless skinless chicken breast halves', 'condensed cream of chicken soup', 'egg', 'seasoning salt', 'all-purpose flour', 'cornstarch', 'garlic powder', 'paprika', 'salt and pepper', 'oil']",10
deep fried dessert thingys,20,"[1663.3, 221.0, 168.0, 66.0, 19.0, 158.0, 29.0]",20,"['in a large bowl , mix flour , granulated sugar , baking powder and salt', 'make a well in the center of the flour mixture , and pour in milk , vanilla , egg and 2 tablespoons oil', 'mix until smooth', 'heat remaining vegetable oil to 400 degrees in a small deep fryer', 'oil is hot enough when it starts to ripple', 'be careful not to overheat', 'butter one side of each bread slice', 'sprinkle the brown sugar and cinnamon evenly onto the buttered side of the bread slices', 'make sandwiches by placing the slices of bread together with the brown sugar on the inside', 'cut the sandwiches into quarters', 'now is a good time to test the oil by dropping in a very small amount of batter', 'batter should sizzle and brown in about 20 seconds', 'oil needs to be hot enough to melt the brown sugar inside the sandwiches but not so hot that it scorches the batter', 'dip the sandwiches into the batter mixture', 'using deep fryer tongs , carefully place the battered sandwiches into the heated oil', 'be cautious when deep frying', 'try to avoid burns from splattering hot oil', 'remove sandwiches from the oil when they are golden brown', 'set aside to cool for a couple of minutes', 'sprinkle with powdered sugar and serve']",my mother used to make this for us as a special treat. i don't know where she got this recipe or what it is called (hence the title). my husband loves this and encouraged me to submit it. this recipe is full of sugar and oil and is as unhealthy as a desert can be but very yummy.,"['all-purpose flour', 'granulated sugar', 'baking powder', 'salt', 'vanilla extract', 'egg', 'milk', 'vegetable oil', 'bread', 'brown sugar', 'ground cinnamon', 'butter', 'powdered sugar']",13
easiest ever  hollandaise sauce,25,"[1290.4, 213.0, 4.0, 53.0, 22.0, 417.0, 1.0]",7,"['cut the butter into several pieces and bring to room temperature', 'in the top of a double boiler , combine egg yolks , lemon juice , salt and pepper', 'add a piece of butter', 'cook , stirring steadily with a wooden spoon or wire whisk , over , but not touching , boiling water', 'when butter melts and sauce begins to thicken , add remaining butter , stirring constantly until melted', 'continue cooking as sauce thickens , about 2 more minutes', 'immediately remove from heat']","the secret to this easy hollandaise sauce is in separating the egg yolks. remove all the egg whites, as they can thin the sauce. also, it is best prepared in a double boiler to prevent overheating. serve over cooked asparagus, broccoli, or broiled tomatoes.","['butter', 'lemon, juice of', 'salt', 'white pepper', 'egg yolks']",5
emotional balance  spice mixture,10,"[182.7, 11.0, 4.0, 1.0, 13.0, 4.0, 10.0]",2,"['mix the spices together and store in an airtight container', 'saute small amounts in butter / ghee to spice vegetables and grains']",really an effective spice blend...i got it in one of maharishi ayurveda newsletters and thought of sharing here !hope this will help you melt your blues away.. :-)),"['ground black pepper', 'ground ginger', 'ground coriander', 'ground cumin', 'ground turmeric', 'black cumin']",6
fool the meat eaters  chili,40,"[295.6, 3.0, 56.0, 76.0, 32.0, 1.0, 18.0]",9,"['rehydrate tvp if needed', 'spray or oil a large pot', 'chop the onion , hot peppers , and garlic and add to the pot', 'chop remaining vegetables , add to pot and brown lightly', 'add remaining ingredients', 'stir well and simmer at least 15 minutes', 'taste adjust spices to taste', 'simmer an additional 15 minutes or so', 'serve with garlic bread , toast , or on rice']","this recipe was adapted by my mother and myself from meat chili. we fed it to my dad and only told him afterwards it wasn't meat - he couldn't tell the difference! this is a fast and filling meal and is even better, cold or warm, the next day! i serve leftovers with tortilla chips or in a wrap. also good with sour cream and/or cheese on top.","['vegetarian ground beef', 'garlic', 'onion', 'jalapenos', 'green pepper', 'celery', 'kidney beans', 'diced tomatoes', 'chili powder', 'black pepper', 'salt', 'red pepper flakes']",12
forgotten  minestrone,495,"[346.9, 24.0, 18.0, 42.0, 42.0, 30.0, 10.0]",5,"['in a slow cooker , combine the first nine ingredients', 'cover and cook on low for 7-9 hours or until meat is tender', 'add zucchini , cabbage , beans and macaroni', 'cook on high 30-45 minutes more or until the vegetables are tender', 'sprinkle individual servings with parmesan cheese']",this recipe came from a ,"['beef stew meat', 'water', 'tomatoes', 'beef bouillon cube', 'onion', 'dried parsley', 'salt', 'ground thyme', 'ground pepper', 'zucchini', 'cabbage', 'garbanzo beans', 'elbow macaroni', 'parmesan cheese']",14
fried  potatoes,40,"[132.6, 8.0, 4.0, 3.0, 4.0, 5.0, 6.0]",14,"['preheat oven to 400 degrees', 'cut the potatoes into strips about 2 1 / 2 inches long by 1 / 4-inch thick', 'soak the potatoes in ice water for five minutes', 'drain the potatoes , then rinse thoroughly under cold water', 'press between paper towels to dry', 'transfer potatoes to a bowl , pour melted margarine over the potatoes and toss to coat them', 'spray baking sheet with non-stick spray', 'spread potatoes onto baking sheet', 'bake for 15 minutes', 'toss and turn', 'bake for five minutes', 'add herbs and toss', 'bake a final five minutes until the potatoes are brown and crisp', 'serve immediately']","my husband made these up last week, very tasty, he liked them because they were easy.","['red potatoes', 'margarine', 'rosemary']",3
george s at the cove  black bean soup,90,"[804.7, 108.0, 26.0, 19.0, 28.0, 214.0, 10.0]",11,"['in 1 / 4 cup butter , saute carrots , onion , celery and broccoli stems for 5 minutes', 'add thyme , oregano and basil', 'saute 5 minutes more', 'add wine and deglaze pan', 'add hot chicken stock and reduce by one-third', 'add worcestershire sauce , tabasco , smoked chicken , beans and broccoli florets', 'simmer 5 minutes', 'add cream , simmer 5 minutes more and season to taste', 'drop in remaining butter , piece by piece , stirring until melted and serve immediately', 'smoked chicken: on a covered grill , slightly smoke boneless chicken , cooking to medium rare', 'chef meskan uses applewood chips and does not allow the grill to become too hot']","an original recipe created by chef scott meskan, george's at the cove. we enjoyed this when we visited this restaurant in la jolla, california. this recipe is requested so often, they have it printed and ready at the hostess stand. it's unbeatable at the restaurant, but i do a pretty good job at home, too, if i do say so myself!","['unsalted butter', 'carrot', 'onion', 'celery', 'broccoli stem', 'dried thyme', 'dried oregano', 'dried sweet basil leaves', 'dry white wine', 'chicken stock', 'worcestershire sauce', 'tabasco sauce', 'smoked chicken', 'black beans', 'broccoli floret', 'heavy cream', 'salt & fresh ground pepper', 'cornstarch']",18
get the sensation  brownies,70,"[174.4, 13.0, 67.0, 5.0, 4.0, 26.0, 7.0]",11,"['preheat oven to 350 degrees', 'grease 13 x 9 baking pan', 'in a large bowl , whisk together butter , sugar and vanilla', 'add eggs and stir until well combined', 'combine dry ingredients and blend well with wet ingredients', 'reserve 2 cups of batter and set aside', 'spread remaining batter in prepared pan', 'arrange peppermint patties in a single layer over batter , about 1 / 2 inch apart', 'carefully spread reserved 2 cups of batter on top', 'bake for 50- 55 minutes or until brownies begin to pull away from sides of pan', 'cool completely on wire rack and cut into squares']",a yummy thick chocolate mint brownie from york peppermint patties! get the sensation!,"['butter', 'sugar', 'vanilla', 'eggs', 'all-purpose flour', 'baking cocoa', 'baking powder', 'salt', 'miniature peppermint patties']",9
global gourmet  taco casserole,55,"[456.8, 40.0, 34.0, 67.0, 57.0, 51.0, 9.0]",11,"['heat oven to 375 degrees', 'brown ground beef and onion over medium heat', 'drain', 'stir in tomato sauce , taco or other sauce , salt , pepper , tabasco , chiles , and cornmeal , adjusting for""hot"" taste preference and desired thickness', 'stir in more cornmeal , if desired', 'stir in corn and olives', 'transfer mixture to casserole dish', 'cover and bake for 30 to 40 minutes , or until bubbly and heated through', 'top with cheese immediately on removing from oven so cheese melts', 'garnish with corn chips just before serving to keep them crisp', 'serve with a cool fresh vegetable such as cucumber slices , avocado , or lettuce leaves , if desired']","hey! i found this in a cookbook that recognizes different kinds of food from around the world. my brother made this in the 7th grade for 'food and consumer science' (facs, or home ec) as the meal made on his own. everyone loved it, and i came across it the other day, and decided to post it! this can be served with warm flour tortillas and additional toppings can be put on like guacamole, chopped tomatoes, or sour cream. it is your choice!","['ground beef', 'onion', 'tomato sauce', 'taco sauce', 'salt', 'pepper', 'tabasco sauce', 'hot chili pepper', 'cornmeal', 'whole kernel corn', 'sliced ripe olives', 'cheddar cheese']",12
grilled  ranch bread,13,"[1649.8, 91.0, 4.0, 128.0, 80.0, 160.0, 78.0]",4,"['cream the butter with the dressing mix', 'spread evenly on the bread halves', 'place under the broiler for 2-3 minutes , until golden and the butter begins to seep and bubble', 'serve hot']",buttery and ,"['butter', 'dry ranch dressing mix', 'french bread']",3
grilled  venison burgers,26,"[190.9, 10.0, 10.0, 10.0, 45.0, 15.0, 2.0]",13,"['in bowl , mix dry ingredients', 'add venison and mix well', 'add liquid ingredients and mix well with a fork , until bread crumbs are barely noticeable', 'on plastic wrap , form into 8 patties , making them round and very flat-- like a fast-food burger', 'they can be cooked immediately , but i prefer to freeze them first', 'place them on a large cookie sheet and freeze them several hours', 'remove from freezer and place waxed paper between each burger as you stack them', 'i stack them in 2 1-quart freezer zip-lock bags', 'preheat cast iron skillet to very hot', 'cook frozen burgers until they are slightly charred on one side and then turn and cook until the other side is slightly charred and burgers are medium-well', 'do not overcook', 'turn burner off and leave burgers in the pan while you put condiments on your hamburger bun', 'if cooking thawed burgers , cook about 2-3 minutes per side']",delicious venison burgers with that ,"['ground venison', 'egg substitute', 'non-fat powdered milk', 'water', 'fresh breadcrumb', 'onion', 'salt', 'black pepper', 'dry mustard', 'worcestershire sauce']",10
healthy for them  yogurt popsicles,10,"[164.6, 3.0, 5.0, 1.0, 4.0, 6.0, 11.0]",3,"['mix all the ingredients using a blender', 'pour into popsicle molds', 'freeze and enjoy !']","my children and their friends ask for my homemade popsicles morning, noon and night. i never turn them down; who am i to tell them that they are good for them! for variety i substitute different flavours of frozen juice - grape, fruit punch, tropical etc.","['milk', 'frozen juice concentrate', 'plain yogurt']",3
homemade  vegetable soup from a can,12,"[276.2, 3.0, 55.0, 18.0, 23.0, 2.0, 20.0]",6,"['combine all ingredients in large pot', 'bring to a boil and simmer for 3 minutes', 'serve', 'i use the tomatoes that come flavored with basil , oregano , and garlic', 'you can substitute whatever vegetables you like', ""if you don't want to use the zucchini , add a can of tomato sauce to give it some substance""]","my friend just made this for dinner the other night. when i found out it how easy it is to make, i was shocked. trick the non-cooks in your life into thinking you slaved for them...","['low sodium chicken broth', 'diced tomatoes', 'zucchini', 'corn', 'potatoes', 'wax beans', 'green beans', 'carrots']",8
how i got my family to eat spinach  spinach casserole,50,"[166.1, 16.0, 6.0, 32.0, 19.0, 26.0, 3.0]",5,"['preheat oven to 350 degrees', 'place spinach in strainer and squeeze all extra liquid from it', 'in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well', 'pour into a 2 quart casserole dish and top with croutons', 'bake for 35 to 40 minutes , or until bubbling around edges']","if spinach scares you, this is one recipe that contains spinach that you do not have to be afraid of! it is so delicious that even my picky kids like it. my mother-in-law makes this for get-togethers and she passed the recipe on to me. you can also use broccoli instead of the spinach, which she does often, but i have never tried...it is great the way it is! she also eats this hot or cold, but i only like it hot :) enjoy!","['frozen chopped spinach', 'egg', 'salt', 'black pepper', 'onion', 'sharp cheddar cheese', 'condensed cream of mushroom soup', 'crouton']",8
i can t believe it s low fat  creamy potato salad,30,"[152.5, 2.0, 20.0, 13.0, 7.0, 3.0, 10.0]",12,"['cut potatoes into 1 / 2"" pieces', 'place in medium saucepan', 'add water to cover', 'bring to a boil', 'cover , reduce heat , and simmer 15-20 minutes or until tender', 'drain and cool', 'combine potato , chopped green onion , and pimemto in a large bowl', 'toss gently', 'combine mayonnaise and next 9 ingredients', 'stir well', 'add to potato mixture , tossing gently to coat', 'cover and chill']",the name says it all. you have to try it to believe it!,"['red potatoes', 'green onion', 'diced pimentos', 'fat-free mayonnaise', 'plain low-fat yogurt', 'low-fat sour cream', 'sugar', 'prepared mustard', 'white wine vinegar', 'salt', 'pepper', 'celery seed', 'garlic']",13
i can t believe it s spinach,30,"[53.8, 5.0, 2.0, 3.0, 3.0, 3.0, 1.0]",5,"['combine all ingredients in a large bowl and mix well', 'shape into one-inch balls', 'cover and refrigerate or freeze until ready to bake', 'preheat oven to 350 degrees', 'place on ungreased baking sheet and bake until light brown']","these were so go, it surprised even me.","['frozen chopped spinach', 'eggs', 'garlic powder', 'soft breadcrumbs', 'oregano', 'margarine', 'sage', 'onion']",8
